rating,pid,image_type,image_id
-2,1,modified,59
2,1,real,2111
-2,1,modified,269
1,1,real,1467
-2,1,modified,133
0,1,modified,123
2,1,real,2565
2,1,real,1440
1,1,real,1820
-2,1,modified,152
0,1,real,1141
2,1,real,663
1,1,real,622
-2,1,modified,227
0,1,real,1845
2,1,real,2006
-1,1,real,416
-2,1,modified,326
-2,1,real,500
-1,1,real,1705
2,1,modified,308
-2,1,modified,365
0,1,modified,331
-2,1,modified,253
2,1,real,2429
-1,1,real,947
2,1,real,2302
2,1,real,1516
-2,1,modified,270
-2,1,modified,153
-2,1,modified,164
-1,1,modified,22
2,1,real,2425
-2,1,modified,404
-2,1,modified,396
2,1,real,2869
-2,1,modified,52
2,1,real,983
2,1,real,1858
-1,1,real,888
-2,1,modified,68
-2,1,real,2495
-2,1,modified,376
2,1,real,78
-2,1,modified,149
2,1,real,576
2,1,real,1792
-2,1,modified,72
-2,1,modified,406
-2,1,modified,418
2,1,real,1025
-2,1,modified,73
-2,1,real,1949
-2,1,modified,137
2,1,real,1193
-2,1,modified,204
-2,1,modified,122
-2,1,real,2482
2,1,modified,341
2,1,modified,60
-2,1,modified,40
2,1,real,2480
2,1,real,2259
0,1,real,2908
-2,1,modified,207
2,1,real,2379
-2,1,modified,362
-2,1,modified,100
-2,1,modified,143
-2,1,modified,76
-2,1,modified,274
2,1,real,294
2,1,real,916
2,1,real,332
-1,1,modified,379
-2,1,modified,215
-1,1,real,1472
-2,1,modified,325
-1,1,modified,193
-2,1,modified,210
2,1,real,2472
-1,1,real,1708
2,1,real,2931
0,1,real,1813
-2,1,modified,86
2,1,real,1264
0,1,real,1343
2,1,real,485
-2,1,modified,319
-2,1,modified,328
0,1,modified,51
1,1,real,304
2,1,real,1947
-2,1,modified,209
-2,1,modified,273
-2,1,modified,313
2,1,real,151
2,1,real,2008
-2,1,modified,183
2,1,real,2628
-2,2,modified,293
2,2,real,2279
-2,2,modified,188
-2,2,modified,110
1,2,real,2536
1,2,real,1525
1,2,real,864
0,2,real,2663
1,2,real,96
2,2,real,740
-2,2,modified,192
-2,2,real,2118
2,2,real,2527
-2,2,modified,34
2,2,real,1370
2,2,real,1375
1,2,modified,394
2,2,real,2504
-2,2,modified,120
-1,2,modified,179
-2,2,real,2470
1,2,real,882
-2,2,modified,305
-1,2,modified,138
-1,2,modified,270
0,2,modified,48
2,2,real,1974
-2,2,modified,152
1,2,real,2790
-2,2,modified,151
-1,2,modified,388
0,2,real,1424
-2,2,modified,245
-1,2,real,2839
-2,2,modified,246
-1,2,real,2676
2,2,real,2798
-1,2,modified,267
2,2,real,2064
2,2,real,2861
-1,2,modified,377
1,2,real,378
2,2,real,2639
2,2,modified,239
-2,2,modified,299
-2,2,modified,159
2,2,real,613
-2,2,modified,384
0,2,modified,420
-2,2,modified,100
-2,2,modified,147
-2,2,real,128
0,2,modified,351
1,2,real,285
1,2,real,432
2,2,real,1080
2,2,real,2600
2,2,modified,396
-2,2,modified,346
-1,2,modified,167
2,2,real,2286
-2,2,modified,210
2,2,real,290
-2,2,modified,160
1,2,modified,298
-1,2,modified,22
0,2,modified,67
2,2,real,2081
-1,2,real,1379
0,2,real,143
2,2,real,2391
1,2,real,2410
-1,2,modified,419
-2,2,modified,148
-2,2,modified,376
2,2,real,633
-2,2,modified,405
1,2,real,196
-2,2,modified,263
0,2,modified,86
1,2,real,1638
-2,2,modified,412
2,2,real,1560
1,2,real,2669
-1,2,modified,254
-1,2,modified,68
2,2,real,1357
-2,2,modified,184
2,2,real,758
2,2,real,654
-1,2,modified,271
1,2,real,2263
-1,2,modified,55
2,2,real,2562
2,2,real,2368
2,2,real,857
-2,2,real,2045
-2,2,modified,398
-2,2,modified,395
-2,2,modified,82
-1,3,modified,15
-1,3,modified,88
1,3,modified,336
-1,3,modified,41
0,3,modified,276
2,3,real,692
0,3,real,1247
1,3,real,338
1,3,real,2043
-1,3,real,1307
-2,3,modified,28
2,3,real,2385
-2,3,modified,6
-1,3,modified,374
2,3,real,2009
1,3,real,2507
-1,3,modified,289
2,3,real,483
1,3,real,30
-1,3,modified,169
1,3,modified,12
-1,3,modified,323
2,3,real,169
-2,3,modified,38
-1,3,modified,158
0,3,real,1483
1,3,real,1164
-1,3,modified,231
1,3,real,1670
1,3,real,2116
-1,3,real,972
-1,3,modified,70
1,3,modified,56
-2,3,modified,87
-1,3,real,870
-1,3,modified,103
1,3,real,1839
2,3,real,1507
-1,3,real,1008
-2,3,modified,10
1,3,real,322
-1,3,modified,171
-2,3,modified,114
-1,3,real,2786
1,3,real,115
-1,3,modified,119
-2,3,modified,197
1,3,real,2278
-2,3,modified,222
-2,3,modified,369
-1,3,modified,306
-1,3,real,1909
1,3,real,792
0,3,real,2117
2,3,real,1508
1,3,real,475
2,3,real,2732
-1,3,modified,24
-2,3,modified,389
1,3,real,1799
1,3,real,510
1,3,real,363
-1,3,modified,281
1,3,real,2539
-1,3,real,2193
1,3,modified,417
1,3,real,702
1,3,modified,315
1,3,real,2283
-2,3,modified,330
1,3,real,2174
1,3,modified,334
2,3,real,1499
1,3,real,1102
-1,3,modified,3
0,3,modified,149
-1,3,modified,240
-2,3,modified,155
1,3,real,390
-2,3,modified,331
-1,3,real,1847
1,3,real,2918
1,3,real,2310
-1,3,real,1174
1,3,real,1525
1,3,real,498
1,3,modified,237
-1,3,modified,35
-2,3,modified,286
-2,3,modified,245
-1,3,modified,398
-2,3,modified,273
1,3,modified,102
-1,3,modified,68
-1,3,modified,409
-1,3,real,1145
2,3,real,549
-2,3,modified,343
-2,3,modified,104
1,3,real,909
-1,4,modified,59
-1,4,modified,405
-2,4,modified,106
-1,4,real,600
-1,4,real,877
2,4,real,219
2,4,modified,214
-2,4,modified,356
2,4,real,1496
-2,4,modified,402
2,4,real,2365
-2,4,modified,361
-2,4,modified,220
-2,4,modified,61
-2,4,modified,321
-2,4,modified,110
2,4,real,2715
1,4,real,2777
2,4,modified,302
2,4,real,1023
2,4,real,2312
-2,4,modified,375
-2,4,modified,16
-2,4,modified,374
-2,4,modified,347
1,4,real,1793
-1,4,real,926
0,4,real,971
-2,4,real,1133
-2,4,modified,143
1,4,real,1642
-2,4,modified,371
2,4,real,1913
-2,4,modified,407
-2,4,modified,229
-2,4,modified,300
1,4,real,345
-2,4,modified,142
-1,4,real,1065
2,4,real,2198
-2,4,modified,31
-2,4,modified,159
2,4,real,2187
-2,4,real,2646
2,4,real,1760
-2,4,modified,227
-2,4,modified,273
-2,4,modified,299
2,4,real,2180
-2,4,modified,253
2,4,modified,64
1,4,modified,415
-2,4,modified,395
2,4,real,466
1,4,real,366
-2,4,modified,364
-1,4,real,684
-2,4,modified,112
2,4,real,2721
-2,4,modified,294
2,4,real,2412
2,4,modified,390
2,4,real,2519
2,4,real,2012
-2,4,modified,12
2,4,real,2635
-2,4,modified,249
1,4,real,992
-2,4,modified,266
2,4,real,2059
-2,4,modified,115
1,4,real,1399
1,4,real,2804
2,4,real,935
2,4,real,2687
1,4,real,1784
2,4,real,2958
2,4,real,1739
2,4,real,1305
2,4,modified,199
-2,4,modified,27
2,4,real,1400
-2,4,modified,183
-2,4,modified,178
-1,4,real,127
2,4,real,773
0,4,real,2937
-2,4,modified,2
2,4,real,2769
-2,4,modified,327
-2,4,modified,176
1,4,real,2288
1,4,modified,250
-1,4,real,793
-2,4,modified,83
2,4,real,399
-2,4,modified,225
1,4,real,2129
1,4,real,2102
-2,4,modified,353
-1,5,modified,157
2,5,real,2450
-2,5,modified,249
-2,5,modified,143
1,5,real,320
-2,5,modified,241
2,5,real,1308
1,5,real,1783
-2,5,modified,184
-1,5,real,1904
0,5,real,332
1,5,real,530
-1,5,modified,190
-1,5,real,2865
1,5,real,1622
2,5,modified,341
2,5,real,696
-2,5,modified,13
-2,5,modified,318
-2,5,modified,323
2,5,real,1611
1,5,real,1399
-1,5,real,2922
-2,5,modified,122
1,5,modified,193
1,5,real,1463
-1,5,modified,65
1,5,real,1252
-2,5,modified,94
1,5,real,900
1,5,real,2853
1,5,real,786
-2,5,modified,254
-1,5,modified,158
1,5,real,294
2,5,real,1718
-2,5,modified,263
1,5,real,607
1,5,real,2222
1,5,real,1011
-2,5,modified,330
-1,5,modified,372
-1,5,modified,264
1,5,real,1577
1,5,real,2273
-2,5,modified,356
1,5,real,2092
-2,5,modified,288
-2,5,modified,18
-2,5,modified,278
-2,5,modified,403
-2,5,modified,4
-2,5,modified,163
1,5,modified,25
-2,5,modified,110
-1,5,modified,195
1,5,real,1879
-1,5,real,1284
-1,5,modified,215
-2,5,modified,385
1,5,real,1743
-2,5,modified,80
1,5,real,2783
-1,5,modified,171
1,5,real,2272
1,5,real,1591
2,5,real,2106
1,5,real,2544
1,5,real,1025
2,5,modified,333
-1,5,modified,79
-2,5,modified,112
-1,5,real,2920
-1,5,real,365
2,5,real,2533
-1,5,modified,314
-2,5,modified,185
2,5,real,2799
-1,5,modified,5
1,5,real,2088
-2,5,modified,270
-1,5,modified,211
-2,5,modified,166
1,5,real,2416
-1,5,real,2538
2,5,real,617
1,5,modified,247
-1,5,modified,327
1,5,real,1631
1,5,real,2216
1,5,real,338
-1,5,real,2262
1,5,real,1532
-1,5,modified,178
-2,5,modified,368
-2,5,modified,337
-1,5,modified,64
-2,5,modified,310
1,5,real,486
-1,5,real,1770
2,6,modified,330
-2,6,real,1684
2,6,real,873
2,6,real,1068
-2,6,modified,229
1,6,real,1270
-1,6,modified,127
-1,6,modified,342
-2,6,real,805
-2,6,modified,370
-1,6,modified,323
2,6,modified,199
0,6,real,643
-2,6,modified,142
1,6,modified,23
-1,6,real,1473
1,6,real,1611
-2,6,modified,289
1,6,modified,55
-2,6,real,2885
-2,6,real,1930
2,6,real,2189
-2,6,modified,331
1,6,real,1806
-2,6,real,142
-2,6,modified,203
-1,6,real,1596
-1,6,real,1215
-2,6,modified,87
2,6,modified,74
-1,6,modified,49
1,6,modified,420
2,6,real,160
-1,6,modified,4
2,6,modified,25
-2,6,modified,231
-2,6,modified,189
-2,6,real,164
1,6,modified,224
2,6,real,987
-2,6,real,2709
2,6,real,1801
2,6,real,654
-1,6,modified,400
-2,6,modified,241
-2,6,modified,107
-2,6,real,71
-2,6,real,1034
1,6,real,1990
-1,6,modified,340
-2,6,modified,284
-2,6,modified,163
2,6,real,756
1,6,real,1682
-2,6,modified,338
-2,6,modified,82
-2,6,modified,222
-2,6,real,14
-2,6,modified,123
2,6,real,2412
0,6,real,450
-1,6,real,967
-2,6,modified,124
2,6,real,1962
-2,6,real,1960
-2,6,modified,257
2,6,real,2945
2,6,real,1441
-2,6,modified,329
2,6,real,1847
-2,6,modified,21
2,6,modified,213
-2,6,real,1255
2,6,real,2091
-1,6,real,2741
-2,6,modified,137
1,6,real,1803
-1,6,real,1329
-1,6,real,2534
-2,6,modified,187
-2,6,real,1467
-2,6,modified,8
2,6,real,802
2,6,real,2580
-1,6,modified,183
-2,6,modified,282
2,6,real,2888
-2,6,modified,263
2,6,real,2608
-2,6,modified,90
2,6,real,2763
2,6,modified,216
-2,6,real,273
-2,6,modified,26
-2,6,modified,117
2,6,real,1519
1,6,modified,232
-2,6,modified,365
2,6,real,2762
2,6,modified,67
1,7,real,2016
2,7,modified,25
-2,7,modified,380
1,7,real,2883
2,7,real,2530
1,7,real,457
2,7,real,39
1,7,real,1496
2,7,real,1658
-2,7,modified,119
-2,7,modified,349
-2,7,modified,234
1,7,real,20
2,7,real,857
1,7,modified,340
2,7,real,1865
-2,7,modified,99
2,7,real,722
2,7,real,1144
2,7,real,1734
2,7,real,130
-2,7,modified,101
-2,7,modified,279
2,7,real,697
2,7,modified,18
2,7,real,2301
-1,7,modified,329
-1,7,real,2711
1,7,real,2634
-2,7,modified,198
1,7,modified,337
0,7,modified,289
2,7,modified,417
-2,7,modified,116
1,7,modified,132
2,7,real,2077
2,7,modified,209
2,7,modified,57
-1,7,real,2814
1,7,real,685
2,7,real,2779
2,7,modified,367
2,7,real,2066
1,7,modified,416
2,7,real,996
2,7,real,939
-2,7,modified,352
-2,7,modified,3
2,7,real,1214
0,7,modified,68
-1,7,modified,62
2,7,real,930
1,7,modified,226
1,7,modified,44
0,7,modified,204
2,7,real,804
2,7,real,493
2,7,modified,65
2,7,modified,294
1,7,real,2136
1,7,real,1759
-1,7,modified,360
2,7,real,196
1,7,modified,262
0,7,modified,382
2,7,modified,128
1,7,real,177
1,7,modified,137
-2,7,modified,129
2,7,modified,64
-2,7,modified,114
-1,7,modified,91
-2,7,modified,172
2,7,real,2909
-1,7,modified,325
-2,7,modified,310
2,7,real,2222
2,7,real,1536
2,7,real,122
-1,7,modified,257
-2,7,modified,347
2,7,real,554
0,7,modified,160
-1,7,modified,385
2,7,real,2206
2,7,modified,292
2,7,real,1705
-2,7,modified,104
2,7,real,1776
2,7,modified,248
2,7,real,112
2,7,modified,61
2,7,real,974
2,7,real,1490
2,7,real,301
2,7,real,2272
2,7,real,1816
2,7,real,315
2,7,real,1057
2,7,real,1299
2,8,real,1680
-2,8,modified,273
-2,8,modified,284
-1,8,modified,294
2,8,real,2564
2,8,real,118
-1,8,modified,304
-2,8,modified,374
-2,8,modified,230
2,8,real,1313
-2,8,modified,47
2,8,modified,295
-2,8,modified,115
2,8,real,1963
2,8,real,108
1,8,modified,331
-1,8,modified,399
-1,8,modified,298
2,8,real,1805
2,8,modified,25
-2,8,modified,321
-1,8,real,2187
2,8,real,725
1,8,real,1556
2,8,real,1665
2,8,real,1007
-1,8,modified,354
1,8,real,592
2,8,real,1648
1,8,real,357
2,8,real,1314
-1,8,modified,421
2,8,real,1928
-1,8,modified,225
-2,8,modified,404
-2,8,modified,161
2,8,real,1057
-2,8,modified,42
1,8,real,2843
2,8,modified,244
-1,8,modified,214
-1,8,modified,281
-1,8,real,969
2,8,real,838
2,8,real,1542
1,8,modified,422
-1,8,modified,192
1,8,real,2833
0,8,modified,256
-1,8,modified,77
0,8,real,2303
1,8,real,1781
-1,8,modified,188
2,8,real,2612
2,8,real,315
2,8,real,508
1,8,real,1083
0,8,modified,135
2,8,real,2693
-2,8,modified,11
-2,8,modified,164
0,8,modified,204
1,8,real,562
2,8,real,75
-2,8,modified,92
2,8,modified,408
2,8,real,44
-2,8,modified,291
-2,8,modified,345
-1,8,modified,236
2,8,real,654
2,8,real,2411
2,8,real,1151
0,8,modified,95
2,8,real,694
2,8,real,1985
2,8,real,2618
1,8,real,1783
2,8,real,2234
0,8,modified,162
1,8,real,204
1,8,real,1721
-1,8,modified,180
-1,8,modified,112
1,8,real,825
-2,8,modified,138
1,8,modified,55
1,8,real,2413
-1,8,modified,271
1,8,real,1986
2,8,modified,277
-1,8,modified,43
-1,8,real,16
0,8,modified,167
2,8,real,488
-2,8,modified,29
-1,8,modified,65
2,8,real,2
2,8,real,727
0,8,modified,372
-1,9,modified,109
-1,9,real,2149
2,9,real,1087
-2,9,modified,384
1,9,real,910
0,9,modified,55
-2,9,modified,405
2,9,real,1577
-2,9,modified,312
-1,9,real,1379
-2,9,real,117
2,9,real,2258
-2,9,modified,368
2,9,real,1113
1,9,modified,394
-2,9,modified,342
1,9,real,1039
-2,9,modified,264
-1,9,real,2399
-2,9,modified,57
-1,9,modified,138
2,9,real,1524
-2,9,real,2045
1,9,real,1761
-2,9,real,2870
-2,9,modified,146
-2,9,modified,222
-2,9,modified,223
0,9,real,1740
-1,9,modified,21
-2,9,modified,100
1,9,real,1316
2,9,modified,306
-2,9,modified,332
-2,9,modified,375
-2,9,modified,360
2,9,real,404
2,9,real,1722
-2,9,modified,192
1,9,real,1112
1,9,real,1675
1,9,real,293
2,9,real,619
0,9,real,2954
-1,9,real,833
2,9,real,2529
1,9,real,767
0,9,real,1489
1,9,real,1320
1,9,real,746
-1,9,modified,132
2,9,real,1054
-2,9,modified,281
-2,9,modified,66
-2,9,modified,402
-2,9,modified,251
2,9,real,2455
-2,9,modified,325
-2,9,modified,355
-2,9,modified,289
0,9,modified,2
2,9,real,579
-1,9,modified,40
2,9,real,2486
-2,9,modified,82
-1,9,modified,91
-2,9,modified,113
-2,9,modified,363
-1,9,modified,361
2,9,real,2141
1,9,real,887
2,9,real,501
-2,9,modified,128
1,9,real,2400
0,9,real,1934
1,9,real,1573
2,9,real,1253
-2,9,modified,212
-1,9,modified,12
1,9,real,2083
0,9,real,328
1,9,real,1890
-1,9,real,2848
1,9,real,2858
0,9,real,931
-2,9,modified,164
1,9,modified,14
-2,9,modified,259
-1,9,modified,110
-2,9,modified,37
1,9,real,2565
-2,9,modified,73
-1,9,modified,311
1,9,real,2755
1,9,real,774
-2,9,modified,90
-2,9,modified,95
-2,9,modified,229
1,9,real,311
0,9,modified,69
-1,10,real,1803
-2,10,modified,129
-1,10,modified,119
1,10,real,325
-2,10,modified,384
-2,10,modified,318
1,10,modified,2
1,10,real,2729
-2,10,real,1851
-1,10,modified,46
-2,10,real,694
1,10,real,1971
-2,10,modified,270
2,10,real,592
1,10,modified,64
-2,10,modified,337
2,10,real,706
2,10,real,2447
-1,10,real,1660
-2,10,modified,368
-1,10,real,1690
-2,10,modified,33
-1,10,modified,176
2,10,real,2552
1,10,real,2565
1,10,modified,315
-1,10,modified,230
1,10,modified,383
2,10,real,2956
-2,10,modified,159
-2,10,modified,378
1,10,real,493
-2,10,modified,313
1,10,modified,271
1,10,real,2938
-1,10,modified,304
-2,10,modified,412
-2,10,modified,385
1,10,real,317
1,10,real,1201
-2,10,modified,178
2,10,real,593
2,10,real,426
-2,10,modified,310
1,10,real,2701
2,10,real,1022
-2,10,modified,124
1,10,real,1275
2,10,real,490
1,10,real,1733
-1,10,real,1891
1,10,modified,311
1,10,real,14
1,10,modified,308
1,10,modified,407
1,10,real,707
-1,10,real,2506
-2,10,modified,99
-1,10,modified,35
1,10,real,1011
2,10,real,2840
-2,10,modified,135
1,10,real,2664
2,10,real,1253
-1,10,modified,10
1,10,modified,333
-2,10,modified,284
2,10,real,2494
1,10,real,1630
2,10,real,1024
-2,10,modified,90
-2,10,modified,376
1,10,real,2958
-2,10,modified,138
2,10,real,812
-2,10,modified,249
-1,10,modified,7
-2,10,modified,351
-2,10,modified,149
-2,10,modified,400
2,10,real,1078
-2,10,modified,358
-2,10,modified,218
2,10,real,259
1,10,real,88
2,10,real,1658
1,10,modified,196
2,10,real,1352
1,10,modified,102
1,10,modified,350
2,10,real,1248
2,10,real,2081
1,10,modified,408
-2,10,modified,89
1,10,real,1266
2,10,modified,341
1,10,real,1093
2,10,real,2312
2,10,real,1749
2,10,real,2831
-2,11,modified,68
2,11,modified,213
2,11,modified,411
2,11,real,771
-2,11,modified,198
-2,11,modified,271
-2,11,modified,97
1,11,modified,111
2,11,real,2765
2,11,real,1974
2,11,real,475
2,11,real,2285
2,11,modified,181
1,11,real,2589
-2,11,modified,345
2,11,real,1435
2,11,real,1961
-2,11,modified,318
-1,11,real,1684
-1,11,modified,4
-1,11,modified,250
2,11,modified,350
2,11,modified,102
2,11,real,2347
-2,11,real,1182
2,11,modified,247
1,11,real,2639
1,11,real,1227
2,11,real,1065
-2,11,modified,155
2,11,real,1620
2,11,real,559
-2,11,modified,375
-2,11,modified,148
2,11,real,2047
-2,11,real,284
-1,11,real,1517
2,11,real,2299
-1,11,modified,24
-2,11,modified,353
-1,11,modified,109
-2,11,modified,206
-2,11,real,2800
-2,11,modified,278
1,11,real,2935
2,11,real,1283
-2,11,modified,87
-1,11,real,921
2,11,real,1427
1,11,real,294
-2,11,modified,188
2,11,modified,415
-1,11,real,116
-2,11,modified,340
-1,11,modified,105
2,11,real,2439
2,11,real,1551
1,11,real,1242
-2,11,modified,418
-2,11,modified,325
-1,11,modified,341
-2,11,modified,127
2,11,real,1176
2,11,modified,322
1,11,real,2643
2,11,real,249
-2,11,modified,276
2,11,real,1808
2,11,real,2277
-2,11,real,2640
2,11,real,2740
0,11,real,2469
-1,11,modified,77
2,11,real,2244
2,11,real,521
2,11,modified,370
-2,11,modified,70
-2,11,modified,346
-2,11,modified,367
2,11,real,1476
2,11,real,2804
-2,11,modified,100
2,11,real,1962
-2,11,modified,141
-2,11,modified,263
-2,11,modified,89
1,11,real,1610
-1,11,real,1346
2,11,real,2735
-1,11,modified,336
-2,11,modified,319
-2,11,modified,254
1,11,real,2805
2,11,real,100
-1,11,modified,287
-2,11,modified,383
-2,11,modified,251
-2,11,modified,421
2,11,real,1119
2,11,real,1677
2,12,real,2625
2,12,real,691
1,12,real,185
-1,12,modified,96
-2,12,modified,263
-2,12,modified,201
2,12,real,1480
-2,12,modified,313
2,12,real,966
2,12,real,1018
-2,12,real,2840
-1,12,real,940
-1,12,modified,16
-2,12,modified,310
-2,12,real,1654
-1,12,modified,366
-2,12,modified,1
-2,12,modified,392
0,12,modified,354
-2,12,modified,59
1,12,real,1873
-1,12,modified,231
1,12,real,2815
2,12,real,2388
-1,12,modified,82
1,12,real,2674
1,12,modified,123
-2,12,real,449
2,12,real,1613
-2,12,modified,386
2,12,real,1532
2,12,real,1920
-2,12,modified,383
1,12,real,865
2,12,real,897
-2,12,modified,18
-2,12,modified,418
-2,12,modified,126
1,12,real,788
-2,12,modified,281
1,12,real,1855
2,12,real,2734
2,12,real,772
-2,12,modified,87
1,12,real,1011
-2,12,modified,363
-1,12,modified,339
-2,12,modified,212
-1,12,modified,32
2,12,real,563
-1,12,modified,116
-1,12,real,1699
-2,12,modified,345
-1,12,real,247
2,12,real,1783
1,12,real,1808
-2,12,modified,100
-1,12,modified,151
-1,12,modified,142
-1,12,modified,269
-2,12,modified,320
-2,12,modified,279
1,12,real,2769
-2,12,modified,132
-2,12,modified,327
0,12,modified,138
2,12,real,460
1,12,modified,302
-2,12,modified,33
-2,12,modified,52
1,12,real,2496
1,12,real,1702
2,12,real,2222
1,12,real,1946
2,12,real,492
-1,12,real,838
2,12,real,2596
-2,12,modified,17
1,12,real,2439
2,12,real,181
-2,12,modified,147
-2,12,modified,198
1,12,real,497
-1,12,modified,394
1,12,real,2771
-1,12,real,1121
-1,12,modified,75
0,12,real,1711
1,12,modified,15
-1,12,modified,194
0,12,modified,83
-2,12,modified,155
1,12,modified,283
2,12,real,66
2,12,real,555
2,12,real,1278
2,12,real,1744
-1,12,modified,23
2,12,real,2068
1,12,real,2580
1,13,modified,110
-1,13,real,1122
-2,13,modified,229
-1,13,real,1441
-1,13,modified,279
2,13,real,2046
-1,13,real,1432
2,13,real,1248
-1,13,modified,417
2,13,real,1051
1,13,real,343
-2,13,modified,340
-2,13,real,1205
2,13,real,1498
-1,13,real,2732
2,13,real,561
1,13,real,770
2,13,real,129
-1,13,modified,276
-2,13,modified,357
-2,13,modified,320
2,13,real,951
2,13,modified,84
-1,13,modified,175
2,13,real,2862
2,13,real,2309
2,13,real,1651
-2,13,modified,166
2,13,real,1822
-2,13,modified,21
2,13,real,2755
-2,13,modified,348
2,13,real,813
-1,13,modified,309
-1,13,real,2590
-1,13,real,369
2,13,real,945
1,13,modified,252
-2,13,modified,366
2,13,real,1706
-2,13,modified,181
-2,13,modified,144
-1,13,modified,113
-1,13,modified,256
-1,13,modified,395
1,13,modified,22
2,13,real,117
-2,13,modified,400
-2,13,modified,104
-2,13,modified,221
2,13,real,626
1,13,modified,378
2,13,real,2716
2,13,real,1393
1,13,real,1071
1,13,real,1598
2,13,real,2262
1,13,modified,62
-2,13,modified,231
-2,13,real,2461
1,13,real,1447
-1,13,modified,319
-2,13,modified,107
1,13,modified,273
-1,13,modified,211
1,13,modified,389
-2,13,modified,189
1,13,modified,89
-1,13,modified,399
-1,13,modified,57
2,13,real,2614
2,13,real,624
-2,13,modified,212
-1,13,modified,137
1,13,real,2230
2,13,real,2953
1,13,modified,34
-1,13,modified,260
2,13,modified,415
1,13,modified,264
2,13,real,91
1,13,real,635
2,13,modified,108
2,13,modified,158
-1,13,real,1721
1,13,modified,75
2,13,real,627
-1,13,modified,387
2,13,real,2060
2,13,real,1943
1,13,modified,316
2,13,real,637
2,13,real,438
2,13,real,672
-2,13,modified,405
2,13,real,644
2,13,real,1405
2,13,real,1847
2,13,real,600
2,13,modified,227
1,14,modified,331
-2,14,modified,219
-2,14,modified,124
1,14,real,2541
2,14,modified,416
2,14,real,861
2,14,real,1184
2,14,real,1406
-2,14,modified,143
2,14,real,2829
0,14,real,1462
-2,14,modified,12
1,14,modified,51
2,14,real,163
1,14,modified,103
2,14,real,2842
-2,14,modified,345
2,14,real,1985
1,14,real,1599
2,14,real,1332
1,14,real,568
1,14,modified,366
-1,14,modified,392
1,14,modified,55
-2,14,modified,20
2,14,real,1052
1,14,real,1840
-1,14,modified,384
1,14,modified,199
2,14,real,2655
2,14,real,305
0,14,modified,213
-2,14,modified,227
1,14,real,1118
-2,14,modified,116
-2,14,modified,269
1,14,real,1077
-2,14,modified,131
1,14,real,923
-2,14,modified,156
-1,14,modified,357
2,14,real,2601
-2,14,modified,421
0,14,modified,250
1,14,real,596
1,14,real,1197
2,14,real,2052
2,14,real,1239
1,14,real,2758
-2,14,modified,249
-1,14,modified,382
2,14,real,2644
2,14,real,2342
1,14,modified,118
-2,14,modified,358
-2,14,modified,149
1,14,real,1844
-2,14,modified,95
1,14,real,609
1,14,real,159
2,14,real,2669
-2,14,modified,101
1,14,real,583
0,14,modified,144
2,14,real,50
-1,14,modified,383
1,14,real,2075
2,14,real,2600
-1,14,real,1071
1,14,real,19
-2,14,modified,279
-1,14,modified,81
1,14,real,1839
1,14,real,2202
-2,14,modified,52
1,14,real,812
1,14,real,2278
2,14,real,2551
1,14,real,2173
0,14,modified,130
-2,14,modified,369
-2,14,modified,172
0,14,modified,127
-2,14,modified,263
-2,14,modified,346
-2,14,modified,1
1,14,real,2642
-2,14,modified,62
1,14,modified,381
1,14,real,2481
-1,14,modified,225
-1,14,real,2084
-2,14,modified,198
-2,14,modified,152
1,14,real,1174
-2,14,modified,246
2,14,real,392
1,14,real,1784
-1,14,modified,44
1,14,real,362
1,15,real,2582
-1,15,modified,136
1,15,real,2645
-1,15,real,354
2,15,real,718
-1,15,modified,374
-1,15,modified,299
-1,15,modified,418
-2,15,modified,131
1,15,real,1785
-1,15,modified,27
-1,15,modified,186
1,15,modified,293
-1,15,modified,316
1,15,real,2804
-1,15,modified,350
1,15,real,812
-2,15,modified,246
-1,15,modified,63
1,15,real,2287
1,15,modified,111
1,15,real,1556
-2,15,modified,332
1,15,real,1125
-2,15,modified,330
0,15,modified,150
1,15,real,1883
-1,15,modified,263
1,15,modified,190
1,15,real,314
1,15,real,1921
-1,15,modified,236
1,15,real,2824
-1,15,modified,14
-2,15,modified,361
-2,15,modified,204
-1,15,real,1242
-2,15,modified,26
1,15,real,1969
-1,15,modified,107
-2,15,modified,318
-1,15,modified,411
-1,15,modified,86
1,15,real,299
-1,15,modified,256
1,15,real,2560
1,15,real,2747
-2,15,modified,369
1,15,real,112
1,15,real,2493
-1,15,modified,81
1,15,real,1463
-1,15,modified,264
1,15,real,1505
-1,15,real,384
-1,15,real,2124
-2,15,modified,391
1,15,real,1638
-1,15,modified,71
-2,15,modified,335
1,15,real,1397
1,15,real,319
-1,15,modified,90
-2,15,modified,28
-2,15,modified,178
-2,15,modified,345
1,15,real,1494
0,15,modified,108
1,15,real,2300
-1,15,modified,317
-2,15,modified,99
-1,15,modified,408
-1,15,modified,351
-1,15,modified,129
1,15,real,40
1,15,real,2675
1,15,real,1093
1,15,real,2884
1,15,real,2886
-1,15,modified,288
1,15,real,452
1,15,real,711
1,15,real,1205
1,15,real,108
0,15,real,2955
1,15,modified,415
1,15,real,924
1,15,real,1243
1,15,real,253
-1,15,modified,362
1,15,real,2130
-1,15,modified,157
-1,15,real,2801
1,15,real,2333
1,15,real,954
-1,15,modified,303
1,15,real,2858
-2,15,modified,198
1,15,real,375
1,15,real,192
-1,16,real,2087
1,16,real,1482
